ID;ID_THREAT;FLOW;SOURCE;TARGET;ATTRIBUTE TARGET;ATTRIBUTE SOURCE
80;TH77;;GE.EI; SE.P.TMCore.WebApp;;target.EnvironmentType is 'Azure'
81;TH182;;; SE.AS.TMCore.KeyVault;;
82;TH183;;; SE.AS.TMCore.KeyVault;;target.ae94fa17-596d-476e-a283-0afc166dcf26 is 'Service or User Principal
83;TH184;;; SE.AS.TMCore.KeyVault;;target.ae94fa17-596d-476e-a283-0afc166dcf26 is 'Service or User Principal
84;TH185;;; SE.AS.TMCore.KeyVault;;target.ae94fa17-596d-476e-a283-0afc166dcf26 is 'Select'
85;TH186;;; SE.AS.TMCore.KeyVault;;
86;TH19;;; SE.DS.TMCore.CloudStorage;;target.StorageType is 'File'
87;TH2;;; SE.DS.TMCore.SQL;;target.DatabaseTechnologies is 'OnPrem'
88;TH26;;SE.EI.TMCore.Browser; SE.P.TMCore.WebApp;;
89;TH27;;SE.EI.TMCore.Browser; SE.P.TMCore.WebApp;;
90;TH31;;SE.EI.TMCore.MobileClient;;;
91;TH38;;SE.ID.TMCore.IoTDevice,SE.ID.TMCore.IoTFieldGateway; SE.ID.TMCore.IoTCloudGateway;;
92;TH5;;; SE.DS.TMCore.SQL,SE.DS.TMCore.HTML5LS,SE.DS.TMCore.AnalysisServices,SE.DS.TMCore.AzureDatabaseforMariaDB,SE.DS.TMCore.AzureDatabaseforMySQL,SE.DS.TMCore.AzureDatabaseforPostgreSQL;;source is 'SE.P.TMCore.WebApp'
93;TH52;;SE.ID.TMCore.IoTDevice; SE.ID.TMCore.IoTFieldGateway;;
94;TH53;;; SE.DS.TMCore.NoSQL;;
95;TH6;;; SE.DS.TMCore.SQL,SE.DS.TMCore.HTML5LS,SE.DS.TMCore.AnalysisServices,SE.DS.TMCore.AzureDatabaseforMariaDB,SE.DS.TMCore.AzureDatabaseforMySQL,SE.DS.TMCore.AzureDatabaseforPostgreSQL,SE.DS.TMCore.NoSQL,SE.DS.TMCore.CloudStorage;;
96;TH37;;SE.ID.TMCore.IoTDevice,SE.ID.TMCore.IoTFieldGateway; SE.ID.TMCore.IoTCloudGateway;;
97;TH63;;; SE.DS.TMCore.CloudStorage,SE.DS.TMCore.NoSQL;;
98;TH65;;; SE.DS.TMCore.CloudStorage;;
99;TH65;;; SE.DS.TMCore.AzureStorage;;
100;TH78;;GE.EI; SE.P.TMCore.WebApp;;target.EnvironmentType is 'Azure'
101;TH4;;; SE.DS.TMCore.SQL,SE.DS.TMCore.HTML5LS,SE.DS.TMCore.AnalysisServices,SE.DS.TMCore.AzureDatabaseforMariaDB,SE.DS.TMCore.AzureDatabaseforMySQL,SE.DS.TMCore.AzureDatabaseforPostgreSQL,SE.DS.TMCore.NoSQL;;
102;TH79;;GE.EI; SE.P.TMCore.WebApp;;target.EnvironmentType is 'Azure'
103;TH80;;SE.EI.TMCore.Browser; SE.P.TMCore.WebApp;;
