Id;Name;ShortDescription;LongDescription
D;Denial of Service;Denial of Service happens when the process or a datastore is not able to service incoming requests or perform up to spec;
E;Elevation of Privileges;A user subject gains increased capability or privilege by taking advantage of an implementation bug;
I;Information Disclosure;Information disclosure happens when the information can be read by an unauthorized party;
R;Repudiation;Repudiation threats involve an adversary denying that something happened;
S;Spoofing;Spoofing is when a process or entity is something other than its claimed identity. Examples include substituting a process, a file, website or a network address;
T;Tampering;Tampering is the act of altering the bits. Tampering with a process involves changing bits in the running process. Similarly, Tampering with a data flow involves changing bits on the wire or between two running processes;
